citing_case,citing_holding_id,citing_direction,citing_pro_ds,citing_concept,citing_chamber,citing_pro_ds_purpose,citing_concept_cluster,citing_is_compensation,citing_core_holding,citing_justification,cited_case,cited_direction,cited_pro_ds_rate,cited_chamber,cited_year,cited_concept,cited_purpose_rate,concordance,is_concordant,is_discordant
C-132/21,1,PRO_DATA_SUBJECT,1,REMEDIES_COMPENSATION,FIRST,1,ENFORCEMENT,1,"The remedies under Articles 77-79 GDPR may be exercised concurrently and independently, with Member States setting procedural rules ensuring effective protection and consistent application.","Permits data subjects to pursue multiple remedies concurrently, maximizing avenues for enforcement of their rights.",C-645/19,PRO_DATA_SUBJECT,0.8,GRAND_CHAMBER,2021,DPA_POWERS,0.4,CONCORDANT_PRO_DS,True,False
C-154/21,1,PRO_DATA_SUBJECT,1,RIGHT_OF_ACCESS,FIRST,1,RIGHTS,0,"The right of access under Article 15(1)(c) GDPR entails an obligation to provide data subjects with the actual identity of recipients to whom their data have been disclosed, unless identification is impossible or the request is manifestly unfounded or excessive.","The Court interprets the right of access broadly to require disclosure of specific recipient identities, not just categories, thereby enhancing data subject control over their personal data.",C-496/17,MIXED,0.0,THIRD,2019,DATA_PROTECTION_PRINCIPLES,0.0,DISCORDANT_CITED_PRO_CTRL,False,True
C-154/21,1,PRO_DATA_SUBJECT,1,RIGHT_OF_ACCESS,FIRST,1,RIGHTS,0,"The right of access under Article 15(1)(c) GDPR entails an obligation to provide data subjects with the actual identity of recipients to whom their data have been disclosed, unless identification is impossible or the request is manifestly unfounded or excessive.","The Court interprets the right of access broadly to require disclosure of specific recipient identities, not just categories, thereby enhancing data subject control over their personal data.",C-311/18,PRO_DATA_SUBJECT,0.8,GRAND_CHAMBER,2020,INTERNATIONAL_TRANSFER,1.0,CONCORDANT_PRO_DS,True,False
C-169/23,1,PRO_CONTROLLER,0,TRANSPARENCY,THIRD,1,PRINCIPLES,0,"The exception to the controller's obligation to provide information applies to all personal data not collected directly from the data subject, including data generated by the controller itself.",Broad interpretation of the exception to information obligations reduces controller burdens by exempting them from providing information for controller-generated data when statutory conditions are met.,C-132/21,PRO_DATA_SUBJECT,1.0,FIRST,2023,REMEDIES_COMPENSATION,1.0,DISCORDANT_CITED_PRO_DS,False,True
C-169/23,1,PRO_CONTROLLER,0,TRANSPARENCY,THIRD,1,PRINCIPLES,0,"The exception to the controller's obligation to provide information applies to all personal data not collected directly from the data subject, including data generated by the controller itself.",Broad interpretation of the exception to information obligations reduces controller burdens by exempting them from providing information for controller-generated data when statutory conditions are met.,C-659/22,PRO_DATA_SUBJECT,1.0,EIGHTH,2023,SCOPE_MATERIAL,1.0,DISCORDANT_CITED_PRO_DS,False,True
C-169/23,1,PRO_CONTROLLER,0,TRANSPARENCY,THIRD,1,PRINCIPLES,0,"The exception to the controller's obligation to provide information applies to all personal data not collected directly from the data subject, including data generated by the controller itself.",Broad interpretation of the exception to information obligations reduces controller burdens by exempting them from providing information for controller-generated data when statutory conditions are met.,C-604/22,MIXED,0.5,FOURTH,2024,JOINT_CONTROLLERS_DEFINITION,1.0,MIXED_CITED,False,False
C-169/23,2,MIXED,0,DPA_POWERS,THIRD,1,ENFORCEMENT,0,"Supervisory authorities are competent to verify whether Member State law provides appropriate protective measures under Article 14(5)(c), but this does not extend to verifying Article 32 security measures.",DPA competence is affirmed for verifying protective measures (pro-data subject) but limited by excluding Article 32 security measures from the scope of review (pro-controller).,C-340/21,PRO_DATA_SUBJECT,0.6666666666666666,THIRD,2023,SECURITY,1.0,DISCORDANT_CITED_PRO_DS,False,True
C-169/23,2,MIXED,0,DPA_POWERS,THIRD,1,ENFORCEMENT,0,"Supervisory authorities are competent to verify whether Member State law provides appropriate protective measures under Article 14(5)(c), but this does not extend to verifying Article 32 security measures.",DPA competence is affirmed for verifying protective measures (pro-data subject) but limited by excluding Article 32 security measures from the scope of review (pro-controller).,C-687/21,PRO_CONTROLLER,0.0,THIRD,2024,REMEDIES_COMPENSATION,0.4,CONCORDANT_PRO_CTRL,True,False
C-17/22 & C-18/22,1,PRO_DATA_SUBJECT,1,CONTRACT_BASIS,FOURTH,1,LAWFULNESS,0,"Processing is necessary for contract performance under Article 6(1)(b) only if objectively indispensable for the main contractual purpose, which is not met when the contract expressly prohibits disclosure.","Sets high threshold for contract necessity requiring objective indispensability, protecting data subjects from disclosure contrary to contractual expectations.",C-252/21,PRO_DATA_SUBJECT,0.625,GRAND_CHAMBER,2023,CONSENT_BASIS,0.75,CONCORDANT_PRO_DS,True,False
C-17/22 & C-18/22,2,PRO_DATA_SUBJECT,1,LEGITIMATE_INTERESTS,FOURTH,1,LAWFULNESS,0,"Legitimate interests processing under Article 6(1)(f) requires strict necessity and a balancing test where data subject interests may override, particularly when disclosure was not reasonably expected.","Court emphasizes strict necessity, less intrusive alternatives, data minimisation, and reasonable expectations favoring data subject protection over third party interests.",C-252/21,PRO_DATA_SUBJECT,0.625,GRAND_CHAMBER,2023,CONSENT_BASIS,0.75,CONCORDANT_PRO_DS,True,False
