case_id,holding_id,total_citations,internal_citations,external_citations,precedent_direction_score,predominantly_pro_ds_precedents,cites_gc_precedent,precedent_purpose_rate,avg_cited_pagerank,max_cited_pagerank,citing_case_pagerank,citing_case_in_degree,citing_case_authority
C-129/21,1,1,0,1,,,0,,,,0.005868007398772985,1,0.0034779614820949333
C-129/21,2,0,0,0,,,0,,,,0.005868007398772985,1,0.0034779614820949333
C-129/21,3,0,0,0,,,0,,,,0.005868007398772985,1,0.0034779614820949333
C-129/21,4,1,0,1,,,0,,,,0.005868007398772985,1,0.0034779614820949333
C-132/21,1,6,1,5,0.8,1.0,1,0.4,0.04750151279707306,0.04750151279707306,0.011196865648217808,5,0.010834708702049162
C-154/21,1,12,2,10,0.4,0.0,1,0.5,0.07662235393657726,0.12140636894604184,0.026530754096006266,5,0.0010877542795912876
C-169/23,1,4,3,1,0.8333333333333334,1.0,0,1.0,0.010365712276458196,0.013128052124359621,0.0062351378710187606,2,0.0022530909591447165
C-169/23,2,2,2,0,0.3333333333333333,0.0,0,0.7,0.014711803546675645,0.018056056536676027,0.0062351378710187606,2,0.0022530909591447165
C-17/22 & C-18/22,1,1,1,0,0.625,1.0,1,0.75,0.023100926094618515,0.023100926094618515,0.005361620540502952,0,-0.0
C-17/22 & C-18/22,2,3,1,2,0.625,1.0,1,0.75,0.023100926094618515,0.023100926094618515,0.005361620540502952,0,-0.0
C-17/22 & C-18/22,3,1,1,0,0.625,1.0,1,0.75,0.023100926094618515,0.023100926094618515,0.005361620540502952,0,-0.0
C-175/20,1,3,2,1,0.775,1.0,1,0.75,0.10541614175595197,0.12140636894604184,0.04301638548020276,12,0.008365117207864946
C-175/20,2,5,0,5,,,0,,,,0.04301638548020276,12,0.008365117207864946
C-175/20,3,3,1,2,0.75,1.0,1,0.5,0.0894259145658621,0.0894259145658621,0.04301638548020276,12,0.008365117207864946
C-180/21,1,2,1,1,1.0,1.0,1,1.0,0.02937059759992612,0.02937059759992612,0.009679977295224757,4,0.012380772522867936
C-180/21,2,4,2,2,0.7083333333333333,1.0,1,0.75,0.06622115002303243,0.0894259145658621,0.009679977295224757,4,0.012380772522867936
C-180/21,3,7,1,6,0.75,1.0,1,0.5,0.0894259145658621,0.0894259145658621,0.009679977295224757,4,0.012380772522867936
C-182/22 & C-189/22,1,2,2,0,0.3333333333333333,0.0,0,0.5,0.022865785227032476,0.03530205830399602,0.005361620540502952,0,-0.0
C-182/22 & C-189/22,2,3,3,0,0.17777777777777778,0.0,0,0.37777777777777777,0.0208581350521567,0.03530205830399602,0.005361620540502952,0,-0.0
C-182/22 & C-189/22,3,2,1,1,0.3333333333333333,0.0,0,0.3333333333333333,0.03530205830399602,0.03530205830399602,0.005361620540502952,0,-0.0
C-182/22 & C-189/22,4,3,3,0,0.2222222222222222,0.0,0,0.6666666666666666,0.018205853321117158,0.03530205830399602,0.005361620540502952,0,-0.0
C-182/22 & C-189/22,5,1,1,0,0.3333333333333333,0.0,0,0.3333333333333333,0.03530205830399602,0.03530205830399602,0.005361620540502952,0,-0.0
C-184/20,1,12,2,10,0.7083333333333333,1.0,1,0.75,0.06622115002303243,0.0894259145658621,0.021281147496361688,5,0.014015407214789914
C-184/20,2,3,0,3,,,0,,,,0.021281147496361688,5,0.014015407214789914
C-200/23,1,1,0,1,,,0,,,,0.007106994024015165,2,0.021692195663995894
C-200/23,2,2,1,1,0.5,0.0,0,1.0,0.007224772333315114,0.007224772333315114,0.007106994024015165,2,0.021692195663995894
