variable,coef,se,z,p_value,odds_ratio,ci_lower,ci_upper
Intercept,-143.35716770565864,620.6094219771165,-0.23099418511719694,0.8173193194875868,5.505200290911281e-63,0.0,inf
C(chamber_grouped)[T.FOURTH],0.42317214363945144,0.7289476234384376,0.5805247593007482,0.5615607950378243,1.5267971017554354,0.3658474100604867,6.371807824315027
C(chamber_grouped)[T.GRAND_CHAMBER],0.7621936350998885,0.7806533135041825,0.9763535514613617,0.3288892907919255,2.1429719667612623,0.464005560134046,9.897141855364755
C(chamber_grouped)[T.OTHER],0.7371117812517256,0.7704918941075153,0.9566768799113001,0.3387303712002877,2.0898907277814214,0.4616147632238428,9.46166284536449
C(chamber_grouped)[T.THIRD],-0.16362058603680613,0.6388300609947111,-0.25612537046555917,0.7978540324087574,0.8490641075524944,0.24275453315163525,2.969707092075605
C(concept_cluster)[T.ENFORCEMENT],-0.05295013071711254,0.9598348924998961,-0.05516587397568304,0.956006316138992,0.9484273086927297,0.14454101785506154,6.223246336732748
C(concept_cluster)[T.LAWFULNESS],1.208487490434403,1.053633566335501,1.1469713276480724,0.2513934712305572,3.3484163088593477,0.4246048307981956,26.40547389995192
C(concept_cluster)[T.OTHER],0.16172624591486867,1.1290728516009039,0.14323809635982146,0.8861021434734112,1.1755383888326212,0.12857847262316438,10.747448429172252
C(concept_cluster)[T.PRINCIPLES],-0.084899634530539,1.2099824799052603,-0.07016600317815057,0.9440615331430136,0.9186044759444334,0.08574120900622853,9.841640828319186
C(concept_cluster)[T.RIGHTS],1.8680676254655872,1.229437078569096,1.519449557873896,0.12864937574025861,6.475770686634743,0.5818254619479541,72.07592092219072
C(concept_cluster)[T.SCOPE],2.4427422209063154,1.2607489338028066,1.9375326485807554,0.05268026643325543,11.50454553178183,0.9721158611663804,136.15102188954867
C(concept_cluster)[T.SPECIAL_CATEGORIES],1.4778937480314946,1.0635384801766785,1.389600635593347,0.16465018265333897,4.383702767799786,0.545199569222656,35.24736819549368
year,0.0694557722726601,0.30656383207693144,0.22656218707244744,0.8207641980408915,1.0719246513651544,0.5877824999477511,1.9548429194582113
pro_ds_purpose,1.9672242242797557,0.7442332289468219,2.643289963098814,0.008210468831586607,7.150799897893436,1.6628847568214733,30.750140062293262
precedent_direction_score,1.1730082575648786,0.9512618275662028,1.2331076719077572,0.2175355955363728,3.231699815781523,0.5008589951422941,20.85194396150402
cites_gc_precedent,0.16498840452842414,0.5765055006640005,0.2861870430349681,0.7747348670757789,1.1793794431712932,0.38100544460250635,3.650698147965205
